"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
64030,"MADISON","F","10/1/2015 0:00","Pug","Manhattan",10009,106,"44","MN50",4,12,27,"4/7/2016","4/7/2017"
5216,"DEANA","F","9/1/2012 0:00","Unknown","Brooklyn",11215,307,"147","BK32",38,7,21,"2/6/2015","1/28/2016"
72786,"ABRAHAM ","M","4/1/2013 0:00","Terrier Crossbreed","Queens",11105,401,"117","QN72",22,14,13,"5/13/2016","5/13/2017"
112088,"STAR","F","1/1/2015 0:00","Chihuahua Crossbreed","Brooklyn",11219,310,"212","BK30",38,10,17,"10/31/2016","10/31/2017"
83244,"EMILY","F","1/1/2007 0:00","Pekingese","Manhattan",10025,NA,"NULL","NULL",NA,NA,NA,"6/27/2016","5/15/2017"
66353,"TOYOTA","F","11/1/2009 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10025,107,"195","MN09",6,10,31,"4/18/2016","3/30/2017"
110981,"TANK","M","1/1/2011 0:00","Unknown","Staten Island",10310,501,"121","SI35",49,11,24,"10/25/2016","11/10/2017"
69153,"OREO","M","4/1/2011 0:00","Shih Tzu","Brooklyn",11235,315,"596","BK17",48,9,19,"4/29/2016","5/8/2017"
57292,"DASH","M","2/1/2015 0:00","Shih Tzu","Manhattan",10016,105,"74","MN17",4,12,28,"3/7/2016","4/25/2017"
117482,"CHARLOTTE","F","1/1/2006 0:00","Labrador Retriever","Queens",11358,407,"1207","QN52",20,6,11,"12/2/2016","1/7/2018"
7045,"BUFFY ","M","1/1/2003 0:00","Havanese","Staten Island",10312,503,"17009","SI48",51,11,24,"2/24/2015","3/30/2016"
72961,"COOPER","M","3/1/2016 0:00","Boxer","Brooklyn",11201,302,"15","BK38",35,8,25,"5/14/2016","5/14/2017"
88814,"PEANUT ","F","12/1/2013 0:00","Terrier mix","Brooklyn",11211,301,"553","BK73",34,12,18,"7/18/2016","7/20/2018"
112252,"FIESTY","F","10/1/2012 0:00","Yorkshire Terrier Crossbreed","Bronx",10458,206,"385","BX01",15,15,33,"11/1/2016","11/1/2017"
18868,"WA ","F","3/1/2006 0:00","Unknown","Queens",11358,407,"1171","QN51",19,6,11,"5/28/2015","6/17/2016"
67755,"GUCCI","F","9/1/2008 0:00","Chihuahua","Brooklyn",11208,305,"117602","BK83",37,7,18,"4/24/2016","4/24/2017"
64295,"TAZMANIAN ","M","1/1/2007 0:00","Maltese","Manhattan",10128,108,"16001","MN40",4,12,28,"4/8/2016","3/1/2017"
89921,"ETHAN ","M","5/1/2004 0:00","Labrador Retriever Crossbreed","Queens",11415,409,"138","QN60",29,6,14,"7/22/2016","7/22/2018"
101915,"HAZEL","F","9/1/2007 0:00","Shih Tzu","Manhattan",10019,105,"104","MN17",4,12,28,"9/14/2016","8/30/2017"
82350,"N/A","M","4/1/2016 0:00","Poodle Crossbreed","Queens",11365,408,"122702","QN38",24,6,16,"6/23/2016","6/23/2017"
90484,"DJ ","M","1/1/1999 0:00","Unknown","Queens",11355,407,"1199","QN52",20,6,16,"7/25/2016","8/30/2017"
119589,"FLUFFY","F","12/1/2011 0:00","Wheaton Terrier","Brooklyn",11218,307,"504","BK40",39,9,21,"12/14/2016","12/14/2017"
70310,"JUNIPER","F","10/1/2009 0:00","American Staffordshire Terrier ","Brooklyn",11216,308,"315","BK61",36,9,25,"5/4/2016","5/4/2017"
77545,"TOOTSIE ","F","11/1/2009 0:00","Cocker Spaniel","Staten Island",10304,502,"50","SI14",50,11,24,"6/3/2016","4/20/2018"
28401,"BELLA ","F","3/1/2009 0:00","American Pit Bull Mix / Pit Bull Mix","Manhattan",10024,107,"173","MN12",6,10,29,"8/8/2015","2/19/2017"
26164,"HARLEY ","F","4/1/2012 0:00","Labrador Retriever","Brooklyn",10314,502,"27702","SI24",51,11,24,"7/23/2015","7/3/2016"
34385,"LULU","F","4/1/2014 0:00","Maltese","Brooklyn",11230,314,"532","BK43",45,9,17,"9/28/2015","10/28/2016"
67019,"TOTO","M","10/1/2013 0:00","Bichon Frise","Manhattan",10023,107,"157","MN14",6,10,27,"4/20/2016","6/7/2017"
35158,"MARLEY ","M","9/1/2008 0:00","Labrador Retriever","Manhattan",10039,110,"234","MN03",9,13,30,"10/5/2015","10/28/2016"
121500,"NELLIE","F","1/1/2007 0:00","Italian Greyhound","Staten Island",10314,501,"197","SI07",50,11,24,"12/28/2016","1/21/2018"
12351,"TERROR ","M","1/1/2002 0:00","Yorkshire Terrier","Staten Island",10307,503,"248","SI11",51,11,24,"4/10/2015","4/29/2016"
90680,"SALTINE","F","4/1/2011 0:00","Bull Dog, French","Brooklyn",11225,309,"79802","BK60",40,9,21,"7/25/2016","9/21/2017"
60800,"EDITH","F","8/1/2012 0:00","Dachshund Smooth Coat","Manhattan",10024,107,"173","MN12",6,10,29,"3/23/2016","9/7/2020"
